[empty],HTML,CHM,RTF,PDF,LaTeX,PostScript,man pages,DocBook,XML,ePub
Ddoc,Yes,Yes[e],No,Yes[e],Yes[e],Yes[e],Yes[e],No,Yes[e],[added]
Document! X,Yes,Yes,No,No,No,No,No,No,No,[added]
Doxygen,Yes,Yes,Yes,Indirectly[f],Yes,Indirectly[f],Yes,Yes,Yes,No
Epydoc,Yes,No,No,Yes,Indirectly[g],Indirectly[g],No,No,No,[added]
Haddock,Yes,Yes,No,No,No,No,No,Partial,No,[added]
HeaderDoc,Yes,No,No,No,No,No,Yes,No,Yes,[added]
Imagix 4D,Yes,No,Yes,No,No,No,No,No,No,[added]
Javadoc,Yes,Indirectly[h],Indirectly[h],Indirectly[h],Indirectly[h],Indirectly[h],Indirectly[h],Indirectly[h],Indirectly[h],[added]
JSDoc,Yes,No,No,No,No,No,No,No,No,[added]
JsDoc Toolkit,Yes,No,No,No,No,No,No,No,Yes+JSON,[added]
Natural Docs,Yes,No,No,No,No,No,No,No,No,[added]
NDoc,Yes,Yes,No,No,No,No,No,No,No,[added]
pdoc,Yes,No,No,No,No,No,No,No,No,No
phpDocumentor,Yes,Yes,No,Yes,No,No,No,Yes,Yes,[added]
pydoc,Yes,No,No,No,No,No,No,No,No,No
RDoc,Yes,Yes[i],No,No,No,No,Indirectly[j],No,Yes[i],[added]
ROBODoc,Yes,Indirectly,Yes,Indirectly[g],Yes,Indirectly[g],Yes,Yes,No,[added]
Sandcastle,Yes,Yes,No,No,No,No,No,No,No,[added]
Sphinx,Yes,Yes,[empty],Indirectly[k],Yes,[empty],Yes,[empty],[empty],Yes
Visual Expert,Yes,No,No,No,No,No,No,No,No,[added]
VSdocman,Yes,Yes,No,Yes,No,No,No,No,Yes,[added]
YARD,Yes,No,No,No,No,No,No,No,No,[added]
[empty],HTML,CHM,RTF,PDF,LaTeX,PostScript,man pages,DocBook,XML,ePub
