Product,Free,License
Apabi Reader,Yes,[empty]
Blio,Partial (voices cost),[empty]
Bluefire Reader,Yes,Proprietary
DL Reader,Yes,[empty]
eBookMobi,No,[empty]
Ebook Reader,Yes,Proprietary
i2Reader,No,[empty]
iBooks,Yes,Proprietary
Kindle,Yes,[empty]
Kobo Reading App,Yes,[empty]
KyBook / KyBook 2,Yes,Proprietary  partially OS
MapleRead,Partial (CX edition is free),[empty]
Marvin,Partial (ability to see more than one book in library cost),[empty]
MegaReader,No,[empty]
ShuBook,Partial,[empty]
Stanza,Yes,Proprietary
uBooks XL,Partial Adware,[empty]
iBouquiniste,No,[empty]
