Client,Author/Developer,Operating system,Software license,User Interface
Alpine,University of Washington,Cross-platform,[empty],TUI
Balsa,Stuart Parmenter,Linux,[empty],GUI (GTK+)
Becky! Internet Mail,Rimarts,Windows,[empty],GUI
BlitzMail,Dartmouth College,[empty],[empty],GUI
Citadel,citadel.org,Unix-like,[empty],Webmail
Claws Mail,the Claws Mail team,Cross-platform,[empty],GUI (GTK+)
Cone,Courier Mail Server developers,Unix-like,[empty],TUI
Courier (formerly Calypso),Micro Computer Systems  Inc.  continued by Rose City Software,Windows,[empty],GUI
Elm,Dave D. Taylor  Sydney Weinstein  Bill Pemberton  Michael Elkins  Kari Hurtta,Unix-like,[empty],TUI
eM Client,eM Client Inc.,Windows,[empty],GUI
EmailTray,Internet Promotion Agency S.A.,Windows  Android,[empty],GUI
Eudora OSE,Qualcomm,Windows  macOS,[empty],GUI
Eureka Email,Sean O'Connor,Windows,[empty],GUI
Evolution,The GNOME Project,Unix-like,[empty],GUI (GTK+)
FirstClass,Open Text,[empty],[empty],GUI
Forté Agent,Mark Sidell,Windows,[empty],GUI
Geary,Yorba Foundation,Unix-like,[empty],GUI (GTK+)
GNUMail,Ludovic Marcotte and others,Unix-like  macOS,[empty],GUI
Gnus,Gnus team,Cross-platform,[empty],TUI and GUI
GroupWise,Micro Focus (formerly Novell),Cross-platform,[empty],GUI
Hiri,Hiri,Cross-platform,[empty],GUI
i.Scribe  InScribe,Memecode,Windows  macOS  Linux,[empty],GUI
IBM Notes (formerly IBM Lotus Notes),IBM Collaboration Solutions (formerly Lotus Software)  IBM,Windows  macOS  Linux,[empty],GUI (Notes)  Web (iNotes) and Mobile (Traveler)
IMP,Horde LLC,Cross-platform,[empty],Webmail
KMail,KDE,Cross-platform,[empty],GUI (Qt)
Mailbird,Mailbird,Windows,[empty],GUI
Mailpile,Mailpile,Linux  Windows  macOS,[empty],Webmail
mailx,[empty],Unix-like,[empty],TUI
Microsoft Entourage,Microsoft,macOS,[empty],GUI
Microsoft Outlook,Microsoft,Windows  macOS,[empty],GUI
Mozilla Mail & Newsgroups,Mozilla Foundation,[empty],[empty],GUI (XUL)
Mozilla Thunderbird,Mozilla Foundation,Cross-platform,[empty],GUI (XUL)
Mulberry,Cyrus Daboo (formerly Cyrusoft International  Inc./ISAMET),Cross-platform,[empty],GUI
Mutt,Michael Elkins,Cross-platform,[empty],TUI (ncurses)
Netscape Messenger,Netscape Communications,[empty],?,GUI
Netscape Messenger 9,Netscape Communications,[empty],[empty],GUI
Nylas Mail,Nylas,macOS  Linux  Windows,[empty],GUI
nmh / MH,RAND Corporation,Unix-like,[empty],CLI
Opera Mail,Opera Software,Cross-platform,[empty],GUI
Outlook Express,Microsoft,Windows,[empty],GUI
Pegasus Mail,David Harris,Windows,[empty],GUI
Pine,University of Washington,Cross-platform,[empty],TUI
Pocomail,Poco Systems,Windows,[empty],GUI
RoundCube,The RoundCube Team,Cross-platform,[empty],Webmail
SeaMonkey Mail & Newsgroups,SeaMonkey Council,Cross-platform,[empty],GUI (XUL)
Spark,Readdle,macOS,[empty],GUI
Spicebird,Synovel,Windows  Linux  BSD,[empty],GUI (XUL)
SquirrelMail,The SquirrelMail Project Team,Cross-platform,[empty],Webmail
Sylpheed,Hiroyuki Yamamoto,Cross-platform,[empty],GUI (GTK+)
The Bat!,RitLabs,Windows,[empty],GUI
Trojitá,KDE,Cross-platform,[empty],GUI (Qt)
Turnpike,Thus PLC (Demon Internet),Windows,[empty],GUI
Windows Live Mail,Microsoft,Windows,[empty],GUI
Windows Mail,Microsoft,Windows,[empty],GUI
YAM,YAM Open Source Team and contributing authors,AmigaOS,[empty],GUI
Zimbra Desktop,Zimbra,Cross-platform,[empty],GUI
Client,Author/Developer,Operating system,Software license,User interface
