[empty],General linear model,Generalized linear model
Typical estimation method,Least squares  best linear unbiased prediction,Maximum likelihood or Bayesian
Examples,ANOVA  ANCOVA  linear regression,linear regression  logistic regression  Poisson regression  gamma regression <ref name=":02"></ref> general linear model
Extensions and related methods,MANOVA  MANCOVA  linear mixed model,generalized linear mixed model (GLMM)  generalized estimating equations (GEE)
R package and function,lm() in stats package (base R),glm() in stats package (base R)
Matlab function,mvregress(),glmfit()
SAS procedures,PROC GLM  PROC REG,PROC GENMOD  PROC LOGISTIC (for binary & ordered or unordered categorical outcomes)
Stata command,regress,glm
SPSS command,regression  glm,genlin  logistic
Wolfram Language & Mathematica function,LinearModelFit[]<ref>LinearModelFit  Wolfram Language Documentation Center.</ref>,GeneralizedLinearModelFit[]<ref>GeneralizedLinearModelFit  Wolfram Language Documentation Center.</ref>
EViews command,ls<ref>ls  EViews Help.</ref>,glm<ref>glm  EViews Help.</ref>
