Name,License,Deployment,Platforms
draw.io<ref></ref>,free and open source,various,Any supported browser  Linux  Windows  macOS
[added],[added],[added],[added]
Cacoo (Software)<ref></ref>,Proprietary,SaaS,Windows  macOS
ConceptDraw PRO<ref></ref>,Proprietary,Desktop,Windows  macOS
Creately<ref></ref>,Proprietary,Desktop,Cross Platform
Archbee<ref></ref>,Proprietary,SaaS,Linux  macOS  Windows
Edraw Network Diagram<ref></ref>,Proprietary,Desktop,Linux  Windows  macOS
Microsoft Visio<ref></ref>,Proprietary,Desktop,Windows
MyDraw<ref></ref>,Proprietary,Desktop,Windows  macOS
SmartDraw<ref></ref>,Proprietary,Desktop,Windows
Lucidchart<ref></ref>,Proprietary,SaaS,Linux  macOS  Windows
Gliffy<ref></ref>,Proprietary,SaaS,Linux  macOS  Windows
[added],[added],[added],[added]
