Name,Developer(s),License,Platforms
AllMyNotes Organizer,Vladonai Software,[empty],Microsoft Windows
BasKet Note Pads,KDE,[empty],Unix-like (KDE)
CintaNotes,Cinta Software,[empty],Microsoft Windows
ConnectedText,Eduardo Mauro,[empty],Microsoft Windows
Day One,Bloom Built,[empty],macOS  iOS
Dropbox Paper,Dropbox,[empty],Android  IOS  web-based
Evernote,Evernote Corporation,[empty],Android  iOS  macOS  Microsoft Windows 7/8/10  Microsoft Windows Phone  and web-based
Gnote,Aurimas Černius,[empty],Linux
Google Keep,Google,[empty],Android  iOS  Chrome OS  browser based
KeyNote NF,Marek Jedliński  Tranglos Software,[empty],Microsoft Windows
Memonic,Nektoon AG,<ref group="Notes">Free users limited to 100 notes.</ref>,Android (not released yet)  iOS  macOS  Microsoft Windows XP/Vista/7/Mobile web-based
Microsoft OneNote,Microsoft,<ref group="Notes">Depends on platform and version.</ref>,Android  macOS  iOS (iPad  iPhone)  Microsoft Windows 7/8/10  Microsoft Windows Server 2008R2/2012R2/2016  Microsoft Windows Phone 8/8.1/10  web-based  mobile web
MyInfo,Milenix Software,[empty],Microsoft Windows XP/Vista/7
MyNotex,Massimo Nardello,[empty],Linux
Notational Velocity,Zachary Schneirov,[empty],macOS
Notes,Apple,[empty],macOS  iOS  web-based
Notizen .NET,[empty],[empty],Microsoft Windows XP/Vista/7
Okular,Okular Team (KDE),[empty],KDE-enabled Linux  Unix  Microsoft Windows  macOS  *BSD<ref></ref>
Open-Sankoré,Sankoré,[empty],Linux  macOS  Unix  Microsoft Windows
Org-mode (Emacs),Carsten Dominik  et al.,[empty],Linux  macOS  Unix  Microsoft Windows (Emacs mode)
Outline,Gorillized Corporation,[empty],macOS  iOS
PDF Studio,Qoppa Software,[empty],Linux  macOS  Microsoft Windows  web-based
Personal Knowbase,Bitsmith Software,[empty],Microsoft Windows
QOwnNotes,Patrizio Bekerle,[empty],GNU/Linux  macOS  Microsoft Windows
Qiqqa,Quantisle Ltd.,[empty],Microsoft Windows XP/Vista/7/8  Web-based  Android
Simplenote,Automattic inc.,[empty],Cross-platform
TagSpaces,TagSpaces UG,[empty],Cross-platform (browser  web-based)
TiddlyWiki,Jeremy Ruston,[empty],Cross-platform (single HTML file  runs in browser  on a nodeJS server  on Android and IOS)
Tomboy,Alex Graveley,[empty],Cross-platform (Mono/GTK+)
TreeDBNotes,[empty],[empty],Microsoft Windows
Ulysses,The Soulmen,SaaS,macOS  iOS
Whizfolders,AvniTech Solutions,[empty],Microsoft Windows
WikidPad,Michael Butscher,[empty],Cross-platform (Python)
Microsoft Windows Journal,Microsoft,[empty],Microsoft Windows XP Tablet PC edition  Microsoft Windows Vista  Microsoft Windows 7/8/10 (included with )
Zim,Jaap Karssenberg,[empty],Cross-platform (Python  GTK+)
ZOHO Notebook,ZOHO Corporation,[empty],Self-hosted. SaaS.
