Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Fillrate,Memory,Supported API version,Processing power (GFLOPS)2,TDP (Watts),Notes
Core (MHz),Shader (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,[added],[added]
GeForce 610M <ref></ref>,December 2011,GF119 (N13M-GE),40,PCIe 2.0 ×16,48:8:4,900,1800,1800,3.6,7.2,1024<br />2048,14.4
GeForce GT 620M <ref name="ReferenceA"></ref>,April 2012,GF117 (N13M-GS),28,PCIe 2.0 ×16,96:16:4,625,1250,1800,2.5,10,1024<br />2048,14.4<br />28.8
GeForce GT 625M,October 2012,GF117 (N13M-GS),28,PCIe 2.0 ×16,96:16:4,625,1250,1800,2.5,10,1024<br />2048,14.4
GeForce GT 630M<ref name="ReferenceA"/><ref></ref><ref></ref>,April 2012,GF108 (N13P-GL)<br />GF117,40<br />28,PCIe 2.0 ×16,96:16:4,660<br />800,1320<br />1600,1800<br />4000,2.6<br />3.2,10.7<br />12.8,1024<br />2048,28.8<br />32.0
GeForce GT 635M<ref name="ReferenceA"/><ref></ref><ref></ref>,April 2012,GF106 (N12E-GE2)<br />GF116,40,PCIe 2.0 ×16,144:24:24,675,1350,1800,16.2,16.2,2048<br />1536,28.8<br />43.2
GeForce GT 640M LE<ref name="ReferenceA"/>,March 22  2012,GF108<br />GK107 (N13P-LP),40<br />28,PCIe 2.0 ×16<br />PCIe 3.0 ×16,96:16:4<br /><br />384:32:16<br />(2 SMX),762<br />500,1524<br />500,3130<br />1800,3<br />8,12.2<br />16,1024<br />2048,50.2<br />28.8
GeForce GT 640M<ref name="ReferenceA"/><ref></ref>,March 22  2012,GK107 (N13P-GS),28,PCIe 3.0 ×16,384:32:16<br />(2 SMX),625,625,1800<br />4000,10,20,1024<br />2048,28.8<br />64.0
GeForce GT 645M,October 2012,GK107 (N13P-GS),28,PCIe 3.0 ×16,384:32:16<br />(2 SMX),710,710,1800<br />4000,11.36,22.72,1024<br />2048,28.8<br />64.0
GeForce GT 650M<ref name="ReferenceA"/><ref></ref><ref name="ReferenceB"></ref>,March 22  2012,GK107 (N13P-GT),28,PCIe 3.0 ×16,384:32:16<br />(2 SMX),835<br />745<br />900*,835<br />745<br />900*,1800<br />4000<br />5000*,13.4<br />11.9<br />14.4*,26.7<br />23.8<br />28.8*,1024<br />2048<br />4096,28.8<br />64.0<br />80.0*
GeForce GTX 660M<ref name="ReferenceA"/><ref name="ReferenceB"/><ref></ref><ref></ref>,March 22  2012,GK107 (N13E-GE),28,PCIe 3.0 ×16,384:32:16<br />(2 SMX),950,950,5000,13.4,26.7,2048,80.0
GeForce GTX 670M<ref name="ReferenceA"/>,April 2012,GF114 (N13E-GS1-LP),40,PCIe 2.0 ×16,336:56:24,620,1240,3000,14.35,33.5,1536<br />3072,72.0
GeForce GTX 670MX,October 2012,GK104 (N13E-GR),28,PCIe 3.0 ×16,960:80:24<br />(5 SMX),615,615,2800,14.4,48.0,1536<br />3072,67.2
GeForce GTX 675M<ref name="ReferenceA"/>,April 2012,GF114 (N13E-GS1),40,PCIe 2.0 ×16,384:64:32,632,1265,3000,19.8,39.7,2048,96.0
GeForce GTX 675MX,October 2012,GK104 (N13E-GSR),28,PCIe 3.0 ×16,960:80:32<br />(5 SMX),667,667,3600,19.2,48.0,4096,115.2
GeForce GTX 680M,June 4  2012,GK104 (N13E-GTX),28,PCIe 3.0 ×16,1344:112:32<br />(7 SMX),719,719,3600,23,80.6,4096,115.2
GeForce GTX 680MX,October 23  2012,GK104,28,PCIe 3.0 ×16,1536:128:32<br />(8 SMX),719,719,5000,23,92.2,4096,160
Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Fillrate,Memory,Supported API version,Processing power (GFLOPS)2,TDP (Watts),Notes
Core (MHz),Shader (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,[added],[added]
